"","studyid","timepoint","value.Component 1","value.Component 2","delivery_ind"
"1","1",183,-0.46547811587611,0.976362332486432,TRUE
"2","1",214,-1.4436844125532,-1.06636113678494,TRUE
"3","1",378,0.173787391802882,-0.881749384994468,TRUE
"4","1",427,0.22138979273736,-1.0825937129191,TRUE
"5","1",488,0.337967918505339,-1.84797118801648,TRUE
"6","1",677,1.53213189298528,0.691889371436457,TRUE
"7","10",39,-0.498817262115018,0.594453804013628,TRUE
"8","10",123,-0.729497882996218,0.0437212556479433,TRUE
"9","10",152,-1.24243097074873,-0.137456551599329,TRUE
"10","10",183,-1.49299578106127,-0.607252034936203,TRUE
"11","10",613,1.55661682599126,0.82055652325827,TRUE
"12","10",737,1.71550675603571,0.982033196834468,TRUE
"13","11",156,-0.920686889769513,-0.956315455891345,FALSE
"14","11",486,0.84472743378324,-0.821051084854916,FALSE
"15","11",553,1.34774941615767,-1.15525530716207,FALSE
"16","11",610,1.18312211075324,-0.970883799289764,FALSE
"17","11",676,1.72208529455941,0.0513152419874473,FALSE
"18","11",737,1.31735152140885,-0.0286413557450766,FALSE
"19","12",40,-0.248584153541861,0.718025261072943,FALSE
"20","12",62,-1.05784550490432,-0.350885232589137,FALSE
"21","12",123,-1.05627541165405,-0.304494804597912,FALSE
"22","12",335,-0.0355234933740251,-1.14009112508441,FALSE
"23","12",426,0.502220983694843,-1.12010658180779,FALSE
"24","12",609,1.04930919922957,-0.215529513347184,FALSE
"25","14",1,0.255403646226731,0.89099983882154,TRUE
"26","14",92,-1.32494608055538,-0.406617438289935,TRUE
"27","14",239,-0.521332447204216,-0.613995800342947,TRUE
"28","14",333,0.28607256352267,-0.472027243636452,TRUE
"29","14",368,0.339079785496438,-0.627004698067512,TRUE
"30","14",426,0.490613408019546,-0.24188155927773,TRUE
"31","16",8,-0.174413553953458,0.584143591015494,TRUE
"32","16",45,-0.657278516211888,0.284307734344315,TRUE
"33","16",124,-0.632087942886562,0.333573952065564,TRUE
"34","16",272,0.40843159338507,0.133119540609751,TRUE
"35","16",549,1.90873010341281,1.098483223139,TRUE
"36","16",608,1.9203971844499,1.23847696284391,TRUE
"37","17",0,0.0305848862553849,0.247393559728857,TRUE
"38","17",32,-0.550802390418325,-0.166193727188511,TRUE
"39","17",63,-1.33031508615353,-1.17620557058691,TRUE
"40","17",91,-0.34373911083937,0.406163270817171,TRUE
"41","17",152,-0.634152061022191,0.226564431894484,TRUE
"42","17",247,-0.463159590756647,0.598775301564249,TRUE
"43","18",2,-0.23144953728534,-0.22323685973632,TRUE
"44","18",33,-0.499924229014288,-0.423104470758982,TRUE
"45","18",336,1.19601441712511,0.516013041567823,TRUE
"46","18",373,1.59019698621882,0.594547299900976,TRUE
"47","18",489,1.96304219918543,1.30764358116883,TRUE
"48","18",732,1.72264193439424,1.2862064805107,TRUE
"49","2",32,-0.968394219988241,-0.155941593446347,FALSE
"50","2",123,-0.835428968229151,-0.444003240149884,FALSE
"51","2",190,-0.588774802704753,-0.351277710296017,FALSE
"52","2",369,-0.307166641268533,-0.98904497434007,FALSE
"53","2",555,0.28649574828668,-2.1184515954784,FALSE
"54","2",731,1.31589210906863,-0.490092673573398,FALSE
"55","20",9,-0.46491015080464,0.260896764142604,FALSE
"56","20",123,-1.08649864765396,-0.865869467903487,FALSE
"57","20",426,1.19941742932077,0.221221736792994,FALSE
"58","20",487,1.30333119763502,0.709879888329419,FALSE
"59","20",594,2.16089698466994,0.971615705185918,FALSE
"60","20",599,1.49908412706416,0.721586819889115,FALSE
"61","21",1,0.133367220157825,0.444720181045739,FALSE
"62","21",37,-0.656552368682047,-0.482836872048623,FALSE
"63","21",161,-0.00703101931988057,-1.04202216237032,FALSE
"64","21",188,0.253128186656905,-0.854065019418369,FALSE
"65","21",347,0.706781198267807,0.0105613451992648,FALSE
"66","21",499,1.31421450607625,0.583170398805064,FALSE
"67","22",96,-0.756533240682372,-0.049656410591948,TRUE
"68","22",122,-0.539765448711862,-0.0542563424743165,TRUE
"69","22",153,-1.25485684362485,-0.548397713489335,TRUE
"70","22",243,-0.578884249743735,-0.541025496205793,TRUE
"71","22",489,0.0258756197432832,-0.833160523045361,TRUE
"72","22",551,-0.0216923836104978,-1.18323392446399,TRUE
"73","24",33,-0.186415504958322,1.40847737322533,TRUE
"74","24",86,-0.261215581072417,1.88676686417193,TRUE
"75","24",129,-0.419184968962794,1.28325614562106,TRUE
"76","24",213,0.0694077171191626,0.844934093866879,TRUE
"77","24",490,1.57854216174229,2.0483772669261,TRUE
"78","24",551,1.85930953501365,2.05687669406245,TRUE
"79","25",124,-0.869908017489884,-0.396889101196337,FALSE
"80","25",158,-1.09390296979164,-0.698491719853689,FALSE
"81","25",183,-0.806045805749424,-0.560813012693972,FALSE
"82","25",211,-0.887599513060484,-1.09528343522672,FALSE
"83","25",240,-1.0608223121747,-1.61947237531791,FALSE
"84","25",734,-0.308264837659959,-0.905841060639539,FALSE
"85","27",91,-1.27247424017659,-1.08230322516965,TRUE
"86","27",119,-1.06866410295086,-0.179809756170073,TRUE
"87","27",306,-0.662153192159615,-1.92668105421151,TRUE
"88","27",338,-0.435804531841507,-2.02100244026311,TRUE
"89","27",370,0.33212553998822,-1.89913804147313,TRUE
"90","27",489,1.02174810074731,0.161371229301197,TRUE
"91","30",34,-0.865846825808428,-0.0465371509331713,TRUE
"92","30",276,-0.261784875508757,-0.592067865133487,TRUE
"93","30",334,1.04474928485443,0.260949573673609,TRUE
"94","30",429,1.7994417096744,1.85586520147107,TRUE
"95","30",554,1.43713894223857,0.846335513834148,TRUE
"96","30",674,1.27848556326793,0.978909323448259,TRUE
"97","31",41,-0.566222163986371,-0.109160060545131,TRUE
"98","31",89,-1.05562969527219,-0.274619686205585,TRUE
"99","31",210,-0.682635867780381,-0.694432104078711,TRUE
"100","31",428,0.358968966407677,0.311416467641843,TRUE
"101","31",491,0.680923351483021,0.334111690217893,TRUE
"102","31",729,1.53677288053076,2.14803348443472,TRUE
"103","32",1,-0.387949715382592,0.591932659781942,TRUE
"104","32",118,-1.2466720067098,-1.29663830425746,TRUE
"105","32",153,-0.869535022694951,-0.205336533191373,TRUE
"106","32",555,2.13407484979246,1.77733854803095,TRUE
"107","32",609,2.26504231702351,1.72977476565424,TRUE
"108","32",734,2.11961030309345,1.74946066856082,TRUE
"109","33",32,-0.331083535403273,0.830284234100869,TRUE
"110","33",236,-0.248297902142299,1.29980704770945,TRUE
"111","33",240,-0.0761573627565407,1.24685440214316,TRUE
"112","33",305,0.518775216346262,1.19503477274312,TRUE
"113","33",340,0.695684525138957,0.980993764194075,TRUE
"114","33",547,1.08397605663756,1.11936007017619,TRUE
"115","34",1,0.0641182162929907,1.15096941050795,FALSE
"116","34",45,-0.916609329664372,0.127924431641116,FALSE
"117","34",119,-1.05668981453515,-0.836950539205132,FALSE
"118","34",166,-0.810504152156522,-1.60604801281221,FALSE
"119","34",243,-0.634186780582049,-1.68354766062599,FALSE
"120","34",539,0.470135404396324,-1.67563074131918,FALSE
"121","35",31,-1.06521923043124,-0.223375600167863,TRUE
"122","35",91,-0.383098563343044,0.717116591072835,TRUE
"123","35",244,-0.764766499935945,0.171103640097462,TRUE
"124","35",307,-0.314163845081195,0.134499945035726,TRUE
"125","35",427,0.766837742577601,-0.358936148689074,TRUE
"126","35",551,0.696374791700804,0.00466496820015451,TRUE
"127","36",0,0.271711000227447,0.810428288710983,FALSE
"128","36",65,-1.12399711174242,-0.641701909001178,FALSE
"129","36",162,-0.78864495091416,-0.879969009685695,FALSE
"130","36",276,-0.67280675045071,-1.01079374082345,FALSE
"131","36",559,-0.60880357065511,-2.13253373108147,FALSE
"132","36",610,-0.448279306855455,-1.98172626910394,FALSE
"133","37",199,-0.461754428463438,-0.376740439556554,FALSE
"134","37",253,-0.674378163514595,-0.948444591415244,FALSE
"135","37",274,-0.207383731426922,-0.22612705387952,FALSE
"136","37",335,0.083856831573785,-0.306824545688322,FALSE
"137","37",375,0.14595231462137,-0.228999102442221,FALSE
"138","37",554,0.796768902120908,0.167484398419686,FALSE
"139","38",33,-0.614641302452998,0.367226539130471,TRUE
"140","38",98,-0.158805880188741,0.871892686014509,TRUE
"141","38",305,1.06619067353667,1.49081425579493,TRUE
"142","38",365,1.65479230714863,2.31707690889387,TRUE
"143","38",428,1.09665548161195,1.41400973528165,TRUE
"144","38",487,1.61483542871382,1.91266992260696,TRUE
"145","4",31,-0.780370242931522,-0.0124945229676355,FALSE
"146","4",55,-0.768847781995144,0.132174699381262,FALSE
"147","4",154,-0.868831051595599,-0.215279944636718,FALSE
"148","4",266,-1.10394199411754,-0.960079432015844,FALSE
"149","4",278,-1.10224154856334,-1.06875079702068,FALSE
"150","4",308,-0.831042837019497,-0.28993763548684,FALSE
"151","41",32,-0.342083291226441,0.504872991296608,TRUE
"152","41",96,-0.361810828999434,0.763768062186193,TRUE
"153","41",157,-0.257423765407041,1.02643068908224,TRUE
"154","41",214,-0.796743538590744,0.2094494033633,TRUE
"155","41",278,0.0489289012668813,0.290056170284595,TRUE
"156","41",488,1.71378220912783,1.83982522401335,TRUE
"157","42",122,-0.119960886506825,0.807527759719801,TRUE
"158","42",277,0.843302457302997,0.799167658875959,TRUE
"159","42",337,1.71253706737516,1.56422683542826,TRUE
"160","42",438,1.8251936037625,1.64119083799501,TRUE
"161","42",557,1.31071840295388,1.44719891572346,TRUE
"162","42",616,2.29004488690782,2.41443179232319,TRUE
"163","43",126,-0.426925700536697,-0.176991745195038,TRUE
"164","43",245,0.434673415534694,-0.59185922019842,TRUE
"165","43",312,0.855379171768372,0.0359407246556831,TRUE
"166","43",364,1.15106479539095,-0.110260327716547,TRUE
"167","43",555,0.91941719918501,0.192072328916216,TRUE
"168","43",616,2.26468120782687,0.779736373755421,TRUE
"169","44",186,-0.110150207789769,1.07101859205128,TRUE
"170","44",276,-0.149393387024848,0.90729604716512,TRUE
"171","44",307,0.667230313623489,1.42115478171084,TRUE
"172","44",424,2.00822246341775,2.17378654224425,TRUE
"173","44",497,1.6602190556156,1.66599265057964,TRUE
"174","44",553,2.18875657817464,2.23211551076304,TRUE
"175","45",0,-0.264959904263551,0.974555152333898,TRUE
"176","45",61,-0.556866384565776,-0.0166472858678735,TRUE
"177","45",154,-0.741569893448753,0.103333910725643,TRUE
"178","45",276,0.695358596368976,0.163882039557443,TRUE
"179","45",344,1.10348601901402,0.74523365008589,TRUE
"180","45",365,1.26129921859957,0.620868639729043,TRUE
"181","46",1,-0.217868988173141,1.08017877879273,FALSE
"182","46",54,-0.441150742578499,-0.0620725817169026,FALSE
"183","46",274,-0.605483520733376,-2.13213079147716,FALSE
"184","46",336,-0.254539259166108,-2.29844655826442,FALSE
"185","46",366,0.0662109636114514,-1.45628315885331,FALSE
"186","46",433,-0.202242534831302,-1.59156063258154,FALSE
"187","47",94,-1.21381127986868,-0.22581934811755,FALSE
"188","47",126,-1.34245211883804,-0.545894844725365,FALSE
"189","47",156,-1.68131442856561,-0.767002989481244,FALSE
"190","47",221,-1.01258823981303,-1.44008433788328,FALSE
"191","47",249,-1.07463812533953,-1.26092505325386,FALSE
"192","47",277,-1.1327371389576,-1.32439700068823,FALSE
"193","49",32,-0.447110762992435,0.0996150217666411,TRUE
"194","49",181,-0.62234888757161,-0.703015165743568,TRUE
"195","49",243,-0.663968357210218,-0.130933451970412,TRUE
"196","49",274,-0.488019619915798,-0.412996925282735,TRUE
"197","49",305,0.00669673260925716,-0.154370601654208,TRUE
"198","49",337,-0.0885674302661293,-0.365017979875566,TRUE
"199","5",29,-0.752426354184132,-0.14232089564739,FALSE
"200","5",155,-0.986231572714206,-1.33810253454619,FALSE
"201","5",183,-0.68901672056109,-1.10808419635679,FALSE
"202","5",245,-0.0545556858929815,-0.50240710030894,FALSE
"203","5",549,1.56879887269741,0.311316648107665,FALSE
"204","5",667,1.70376979816893,0.505954427327999,FALSE
"205","52",1,-0.289268692797398,0.0130624235875026,TRUE
"206","52",32,-0.532059150868844,-0.0195830840419329,TRUE
"207","52",62,-0.618767820172534,-0.16148650216245,TRUE
"208","52",127,-1.01381265522833,-0.443259790317191,TRUE
"209","52",154,-0.738239881510225,-0.316033120921608,TRUE
"210","52",188,-0.965151460061229,-0.281271220923143,TRUE
"211","53",30,-0.841445112569107,-0.49698511202067,FALSE
"212","53",45,-0.881569023449374,-0.590917592900976,FALSE
"213","53",62,-1.24442525998575,-0.852666862192589,FALSE
"214","53",153,-1.05102444153975,-1.46256470771443,FALSE
"215","53",183,-1.09483657542365,-1.47505482827829,FALSE
"216","53",214,-0.806984120292061,-1.82127825259842,FALSE
"217","55",0,1.54493910198914,1.80733047707852,FALSE
"218","55",30,-1.00299946536175,-0.136291103757124,FALSE
"219","55",41,-0.788801573788318,-0.498199013183993,FALSE
"220","55",64,-0.771756747031755,-0.793779398236257,FALSE
"221","55",155,-0.898416623912538,-1.03640458672504,FALSE
"222","55",211,-0.838176412582687,-1.42629454453852,FALSE
"223","56",0,1.14169992180677,1.18260948581901,FALSE
"224","56",1,0.0857256906081887,-0.0308727219653067,FALSE
"225","56",93,-1.08423609395239,-0.764691755338122,FALSE
