"","hostID","time_disc","sample_name","group","genotype","diseased","PC1","PC2","PC3"
"1","sub1",0,"11953.L181.tp0","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",56.1689876438855,0,28.0003119990098
"2","sub1",12,"11953.L181.tp12","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",61.2911521373058,0,1.83559295997333
"3","sub1",22,"11953.L181.tp20","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",57.7173901307848,-15.7483080396105,0
"4","sub1",30,"11953.L181.tp28","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",57.6461995371507,-20.6463324934759,0
"5","sub1",39,"11953.L181.tp36","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",56.6903784471009,-19.3131297089409,0.712996847411753
"6","sub1",47,"11953.L181.tp40","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",56.3938952207939,-11.4035914987718,3.76447646606687
"7","sub1",56,"11953.L181.tp44","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",55.8297240625439,-13.6383502007333,0
"8","sub1",65,"11953.L181.tp52","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",54.5601383298524,-6.23586958492869,0
"9","sub10",0,"11953.WT6.tp00","healthy wild type","WT","no",50.7273250627621,0,38.6990638457237
"10","sub10",18,"11953.WT6.tp12","healthy wild type","WT","no",53.5797364916858,0.536111100429054,6.09239187372376
"11","sub10",25,"11953.WT6.tp20","healthy wild type","WT","no",57.8145427740836,4.20439800854527,3.43242145247965
"12","sub10",34,"11953.WT6.tp28","healthy wild type","WT","no",55.3066180142063,4.44374112197008,0
"13","sub10",43,"11953.WT6.tp36","healthy wild type","WT","no",58.6916744285942,4.11600977009739,0
"14","sub10",51,"11953.WT6.tp44","healthy wild type","WT","no",57.4594525550504,4.09754290818488,0
"15","sub10",60,"11953.WT6.tp52","healthy wild type","WT","no",52.8718528679923,2.51815930746173,0
"16","sub10",68,"11953.WT6.tp60","healthy wild type","WT","no",54.0862392357409,3.84170417741227,0
"17","sub10",77,"11953.WT6.tp68","healthy wild type","WT","no",60.6188282716492,3.03639935315617,0
"18","sub10",86,"11953.WT6.tp76","healthy wild type","WT","no",56.1430113741007,3.30314221100868,0
"19","sub11",0,"11953.WT17.tp00","healthy wild type","WT","no",46.1904285452565,0,38.0409753978429
